,S. No.,Message_body,Label,cleaned
357,358,It is only yesterday true true.,Non-Spam,onli yesterday true true
295,296,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",Non-Spam,hi hope ur day good back walk tabl book half eight let know ur come
927,928,Of course. I guess god's just got me on hold right now.,Non-Spam,cours guess god got hold right
580,581,That's y u haf 2 keep me busy...,Non-Spam,u haf keep busi
574,575,I'm hungry buy smth home...,Non-Spam,hungri buy smth home
710,711,yes baby! I need to stretch open your pussy!,Non-Spam,ye babi need stretch open pussi
465,466,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,Non-Spam,news hassl get weed week andr ha money haughaighgtujhyguj
238,239,X course it 2yrs. Just so her messages on messenger lik you r sending me,Non-Spam,x cour yr messag messeng lik r send
451,452,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,Non-Spam,aslamalaikkum insha allah tohar beeen muht albi mufti mahfuuz mean
655,656,Love that holiday Monday feeling even if I have to go to the dentists in an hour,Non-Spam,love holiday monday feel even go dentist hour
423,424,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,Non-Spam,aiyar u poor thing give u support k jia think u
210,211,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,Non-Spam,thi ur face test lt gt select ani number tell ur face astrolog wait quick repli
728,729,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,Non-Spam,boy made fun today ok problem sent one messag fun
647,648,Re your call; You didn't see my facebook huh?,Non-Spam,call see facebook huh
916,917,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """,Non-Spam,final ha happen aftr decad beer cheaper petrol gover expect us drink drive
546,547,"It's cool, we can last a little while. Getting more any time soon?",Non-Spam,cool last littl get ani time soon
644,645,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,Non-Spam,hi dear call urgnt know problem want work ani problem least tell wate repli
367,368,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",Spam,costa del sol holiday await collect call toclaim sae tc pobox stockport sk xh cost pm max min
141,142,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",Non-Spam,er yeah b sorri tell pub caf sit come wen u
298,299,So u wan 2 come for our dinner tonight a not?,Non-Spam,u wan come dinner tonight
440,441,Wot about on wed nite I am 3 then but only til 9!,Non-Spam,wot wed nite onli til
72,73,Why did I wake up on my own &gt;:(,Non-Spam,whi wake gt
589,590,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",Non-Spam,boy wa late home hi father power frndship
926,927,Do you hide anythiing or keeping distance from me,Non-Spam,hide anythi keep distanc
620,621,I'm already back home so no probably not,Non-Spam,alreadi back home probabl
326,327,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,Non-Spam,cour tea know simpli must see grin keep post prey love smile devour kiss
701,702,I'm really sorry I lit your hair on fire,Non-Spam,realli sorri lit hair fire
947,948,"Sorry, I'll call later In meeting.",Non-Spam,sorri call later meet
517,518,I will vote for wherever my heart guides me,Non-Spam,vote wherev heart guid
736,737,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)",Non-Spam,word checkmat chess come persian phrase shah maat mean king dead goodmorn good day
379,380,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,Spam,ree entri weekli comp chanc win ipod txt pod get entri std txt rate c appli detail
513,514,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,Spam,doubl min doubl txt price liner latest orang bluetooth mobil call mobileupd veri latest offer call optout lf
80,81,K. I will sent it again,Non-Spam,k sent
387,388,K sure am in my relatives home. Sms me de. Pls:-),Non-Spam,k sure rel home sm de pl
656,657,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,Non-Spam,regret inform u nh ha made mistak u never actual born plea report yor local hospit b termin w r sorri inconveni
676,677,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,Non-Spam,sound like could lot time spent chastiti devic boy grin take beat like good dog go loung nice long bath
665,666,Taka lor. Wat time u wan 2 come n look 4 us?,Non-Spam,taka lor wat time u wan come n look us
497,498,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,Spam,p alfi moon children need song ur mob tell ur txt tone chariti nokia poli chariti poli zed profit chariti
599,600,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,Spam,donat unicef asian tsunami disast support fund text donat ad next bill
401,402,Oh did you charge camera,Non-Spam,oh charg camera
70,71,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,Non-Spam,love ha one law make happi person love way friendship ha one law never make ur friend feel alon aliv gud night
235,236,"Garbage bags, eggs, jam, bread, hannaford wheat chex",Non-Spam,garbag bag egg jam bread hannaford wheat chex
206,207,"I think your mentor is , but not 100 percent sure.",Non-Spam,think mentor percent sure
734,735,Rats. Hey did u ever vote for the next themes?,Non-Spam,rat hey u ever vote next theme
832,833,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,Spam,buy space invad chanc win orig arcad game consol press game arcad std wap charg see co uk gam term set purcha
82,83,K. I will sent it again,Non-Spam,k sent
213,214,Tell me something. Thats okay.,Non-Spam,tell someth okay
632,633,Hey do you want anything to buy:),Non-Spam,hey want anyth buy
133,134,Am slow in using biola's fne,Non-Spam,slow use biola fne
120,121,Sac needs to carry on:),Non-Spam,sac need carri
466,467,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,Spam,thi msg mobil content order ha resent previou attempt fail due network error queri customersqueri netvis uk com
185,186,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,Non-Spam,friend help us problem give stupid suggest land us anoth problem help us forgt previou problem
311,312,1 in cbe. 2 in chennai.,Non-Spam,cbe chennai
445,446,"Hi Chikku, send some nice msgs",Non-Spam,hi chikku send nice msg
790,791,Quite lor. But dun tell him wait he get complacent...,Non-Spam,quit lor dun tell wait get complac
627,628,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,Non-Spam,tomarrow want got court lt decim gt come bu stand
353,354,I keep ten rs in my shelf:) buy two egg.,Non-Spam,keep ten rs shelf buy two egg
310,311,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,Non-Spam,help u swoop pick u wherev ur bird r meet u want
289,290,"Vikky, come around  &lt;TIME&gt; ..",Non-Spam,vikki come around lt time gt
727,728,That's one of the issues but california is okay. No snow so its manageable,Non-Spam,one issu california okay snow manag
641,642,Ok... Let u noe when i leave my house.,Non-Spam,ok let u noe leav hous
245,246,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",Non-Spam,dear sir salam alaikkum prid pleasur meet today tea shop w plea send contact number qatar rakhesh indian pl save number respect regard
591,592,Yar... I tot u knew dis would happen long ago already.,Non-Spam,yar tot u knew di would happen long ago alreadi
116,117,Im just wondering what your doing right now?,Non-Spam,im wonder right
17,18,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,Non-Spam,well keep mind v onli got enough ga one round trip bar sudden influx cash
165,166,So how many days since then?,Non-Spam,mani day sinc
450,451,Are you driving or training?,Non-Spam,drive train
774,775,Gd luck 4 ur exams :-),Non-Spam,gd luck ur exam
909,910,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,Spam,privat account statement show un redeem point call identifi code expir
21,22,"Cool, what time you think you can get here?",Non-Spam,cool time think get
817,818,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx,Non-Spam,thanx u darlin im cool thanx bday drink nite morrow take care c u soon xxx
305,306,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",Non-Spam,storm msg wen u lift phne u say hello u knw wt real mean hello name girl ye u knw dat girl margaret hello girlfrnd f grahmbel invnt telphon moral get name person bt hi girlfrnd g n g h
436,437,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,Non-Spam,still work thi time also tri ad zero wa save check lt gt
356,357,K.k.how is your business now?,Non-Spam,k k busi
939,940,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,Spam,plea call custom servic repr pm guarant cash prize
590,591,You are gorgeous! keep those pix cumming :) thank you!,Non-Spam,gorgeou keep pix cum thank
60,61,I went to project centre,Non-Spam,went project centr
78,79,Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,Spam,marvel mobil play offici ultim spider man game ur mobil right text spider game send u free ball wallpap
20,21,Wen did you get so spiritual and deep. That's great,Non-Spam,wen get spiritu deep great
687,688,Yeah just open chat and click friend lists. Then make the list. Easy as pie,Non-Spam,yeah open chat click friend list make list easi pie
201,202,Hi mom we might be back later than  &lt;#&gt; ,Non-Spam,hi mom might back later lt gt
150,151,I dont know oh. Hopefully this month.,Non-Spam,dont know oh hope thi month
403,404,Ü still got lessons?  Ü in sch?,Non-Spam,still got lesson sch
866,867,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",Spam,win winner mr foley ipod excit prize soon keep eye ur mobil visit www win co uk
749,750,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,Non-Spam,mark take forev pick prescript pain come back
856,857,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),Non-Spam,ya knw u vl giv ok thank kano anyway enjoy wit ur famili wit st salari
262,263,What you did in  leave.,Non-Spam,leav
7,8,Why don't you wait 'til at least wednesday to see if you get your .,Non-Spam,whi wait til least wednesday see get
195,196,I cant pick the phone right now. Pls send a message,Non-Spam,cant pick phone right pl send messag
119,120,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,Non-Spam,sing hu think also import find someon femal know place well prefer citizen also smart help navig even thing like choo phone plan requir guidanc doubt ask especi girl
712,713,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",Non-Spam,also north carolina texa atm would go gre site pay test result sent
501,502,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,Non-Spam,call later afternoon onword mtnl servic get problem south mumbai hear cann listen
346,347,5 nights...We nt staying at port step liao...Too ex,Non-Spam,night w nt stay port step liao ex
98,99,Well obviously not because all the people in my cool college life went home ;_;,Non-Spam,well obviou becau peopl cool colleg life went home
597,598,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,Non-Spam,cme want go ho morow wil cme thi got dear didnt say ani time
742,743,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,Non-Spam,thought bout drink tap spile seven pub ga st broad st canal ok
950,951,Ü called dad oredi...,Non-Spam,call dad oredi
2,3,"Pity, * was in mood for that. So...any other suggestions?",Non-Spam,piti wa mood ani suggest
105,106,Shall I bring us a bottle of wine to keep us amused? Only joking! Ill bring one anyway,Non-Spam,shall bring us bottl wine keep us amus onli joke bring one anyway
438,439,Any way where are you and what doing.,Non-Spam,ani way
814,815,Well boy am I glad G wasted all night at applebees for nothing,Non-Spam,well boy glad g wast night appleb noth
58,59,"Just making dinner, you ?",Non-Spam,make dinner
400,401,"Ive got some salt, you can rub it in my open wounds if you like!",Non-Spam,v got salt rub open wound like
37,38,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",Non-Spam,hey chief give bell get need talk thi royal visit st june
332,333,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,Spam,someonon know tri contact via date servic find could call mobil landlin box sk ch
260,261,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",Non-Spam,jolli good way give u ticket sat eve speak befor x
218,219,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,Non-Spam,yup paragon havent decid whether cut yet hee
575,576,"We made it! Eta at taunton is 12:30 as planned, hope thats still okday?! Good to see you! :-xx",Non-Spam,made eta taunton plan hope still okday good see xx
778,779,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",Non-Spam,thanx yup come back sun finish dinner go back hotel time fli r tog exactli mth today hope haf mani mth come
487,488,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U""",Non-Spam,keep ur problem ur heart b coz nobodi fight u onli u amp u fight ur self amp win battl vivekanand g sd ham yeah give call v got minut ham hi babe uawak feellikw shit justfound via alett thatmum gotmarri thnov behind ourback fuckinnic selfish deviousbitch anyway l call u
170,171,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!?????ud evening...,Non-Spam,hard true much show amp express love someon much hurt leav get seper ud even
441,442,Cuz ibored. And don wanna study,Non-Spam,cuz ibor wanna studi
47,48,Going to join tomorrow.,Non-Spam,go join tomorrow
885,886,Are you staying in town ?,Non-Spam,stay town
424,425,I'm in office now da:)where are you?,Non-Spam,offic da wher
6,7,Huh y lei...,Non-Spam,huh lei
782,783,Indeed and by the way it was either or - not both !,Non-Spam,ind way wa either
168,169,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,Non-Spam,hi babe thank come even though didnt go well want bed hope see soon love kiss xxx
208,209,Yep get with the program. You're slacking.,Non-Spam,yep get program r slack
509,510,"Geeeee ... Your internet is really bad today, eh ?",Non-Spam,geeeee internet realli bad today eh
297,298,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",Non-Spam,hello u u u b move flat co need arrang pick lamp etc take care hello carolin
510,511,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,Non-Spam,hey next sun basic yoga cours bugi go pilat intro next sat tell time r free
835,836,K:)eng rocking in ashes:),Non-Spam,k eng rock ash
41,42,What about this one then.,Non-Spam,thi one
222,223,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,Non-Spam,sir whi hr trip bu last week anoth audit next wednesday think might drive thi time
314,315,Ok... Sweet dreams...,Non-Spam,ok sweet dream
914,915,Where r e meeting tmr?,Non-Spam,r e meet tmr
807,808,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,Spam,thank continu support question thi week enter u draw cash name new us presid txt
202,203,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,Spam,import messag thi final contact attempt import messag wait custom claim dept expir call
163,164,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,Non-Spam,yup msg tat yiju tot group mate co meet today mah askin leav earlier wat mah co mayb haf walk v far
111,112,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,Non-Spam,hear loud scream lt gt minut cau gyno shove thing belong
511,512,Goodnight da thangam I really miss u dear.,Non-Spam,goodnight da thangam realli miss u dear
405,406,Ok leave no need to ask,Non-Spam,ok leav need ask
3,4,Will ü b going to esplanade fr home?,Non-Spam,b go esplanad fr home
691,692,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",Non-Spam,know dat feelin pete wuld get em nuther place nuther time mayb
705,706,Nokia phone is lovly..,Non-Spam,nokia phone lovli
169,170,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,Non-Spam,babe think got ur brolli left english wil bring mrw u luv franxx
525,526,She ran off with a younger man. we will make pretty babies together :),Non-Spam,ran younger man make pretti babi togeth
684,685,As usual u can call me ard 10 smth.,Non-Spam,usual u call ard smth
282,283,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,Non-Spam,hey forget mine possess properti mmm childish smile
301,302,"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx",Non-Spam,er enjoyin indian mo yep sall good hehe bout u shexi pete xx
460,461,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",Non-Spam,sign matur start say big thing actual start understand small thing nice even bslvyl
884,885,"Haha yeah, 2 oz is kind of a shitload",Non-Spam,haha yeah oz kind shitload
840,841,Jason says it's cool if we pick some up from his place in like an hour,Non-Spam,jason say cool pick hi place like hour
763,764,How do you plan to manage that,Non-Spam,plan manag
